title,price,price_per_unit,size,living_area,commercial_type,size_unit,address,land_type,house_type,property_legal_document,property_status,rooms,toilets,furnishing_sell,direction,balconydirection,floornumber,floors,block,pty_characteristics,width,length,apartment_feature
Đất liền kề khu đô thị Mậu lương- 50m2 mt 5m đường 15m,"11,8 tỷ",236 triệu/m²,50 m²,,,m²,"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đất nền dự án,,Đã có sổ,,,,,,,,,,,5 m,,
"Bán đất sau chợ An Long. Đúng giá 420 triệu (SHR), oto vào tận đất",420 triệu,"2,46 triệu/m²",171 m²,,,m²,"DH507, Xã An Linh, Huyện Phú Giáo, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
LÔ GÓC 2 MẶT TIỀN THÔN NAM YÊN HÒA VANG ĐÀ NẴNG. XÂY HOMESTAY,"2,15 tỷ","10,75 triệu/m²",200 m²,,,m²,"Đường cao tốc La Sơn - Túy Loan, Xã Hòa Bắc, Huyện Hòa Vang, Đà Nẵng",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,,8 m,25 m,
đất nền đường nguyễn thuý,"5,95 tỷ","69,59 triệu/m²",85.5 m²,,,,"Đường Nguyễn Thúy, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,,,
BÁN ĐẤT + NHÀ XƯỞNG,120 tỷ,"26,94 triệu/m²",4455 m²,,,m²,"0903813086, Đường Mỹ Phước - Tân Vạn, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,42 m,106 m,
Đất 80m² (4.2x19) hẻm 745 Quang Trung P.12 Gò Vấp – Chỉ 5.3 Tỷ,"5,3 tỷ","66,25 triệu/m²",80 m²,,,,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Hẻm xe hơi,4.2 m,19 m,
"Cần bán Đất nền trung tâm – pháp lý chuẩn,đầu tư sinh lời. (2 lô đôi","4,52 tỷ","51,54 triệu/m²",87.7 m²,,,,"Đường Nguyễn Trung Trực, Thị trấn Bến Lức, Huyện Bến Lức, Long An",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",4.5 m,19.5 m,
Chủ cần bán nhanh căn nhà va dat tổng diện tích hơn 400m2,240 triệu,517.911 đ/m²,463.4 m²,,,,"Đường nhựa nhà nước 32m, Xã Minh Long, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,10 m,41.3 m,
bán mảnh vườn sẵn nhà cấp 4,495 triệu,190.384 đ/m²,2600 m²,,,,"Đường tỉnh 751, Xã Minh Long, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Tây,,,,,"Mặt tiền
Thổ cư 1 phần",30 m,86 m,
Bán 5 lô đất thổ cư liền kề tại đô thị giá tốt,180 triệu,900.000 đ/m²,200 m²,,,,"Đường huyện 239, Xã Minh Long, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,"Mặt tiền
Thổ cư 1 phần",5 m,40 m,
Bán gấp dãy trọ 10 phòng đang cho thuê 1tr8,420 triệu,"1,68 triệu/m²",250 m²,,,,"ql13, Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,"Mặt tiền
Thổ cư 1 phần",10 m,25 m,
ÔNG BÀ LỚN TUỔI CẦN BÁN GẤP LÔ ĐẤT VƯỜN,280 triệu,106.108 đ/m²,2638.8 m²,,,,"đường nhựa nhà nước, Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,30.05 m,77.29 m,
🔥Nóng 🔥 Chính chủ cần bán gấp lô đất 400m2 có sẵn căn nhà nghỉ duỡng,75 triệu,187.500 đ/m²,400 m²,,,,"DT757, Xã Thanh An, Huyện Hớn Quản, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,10 m,40 m,
Cậu tôi cần bán căn nhà cấp 4 có vườn nhỏ,390 triệu,"1,04 triệu/m²",375 m²,,,,"Đường huyện 239, Xã Minh Long, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,"Thổ cư 1 phần
Mặt tiền",10 m,37.5 m,
Chủ ký gửi bán lô đất có sẵn hàng rào kiên cố,180 triệu,450.000 đ/m²,400 m²,,,,"DT 749 , Xã Minh Long, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,10 m,40 m,
Chính chủ cần bán đất bình phước,320 triệu,"1,28 triệu/m²",250 m²,,,m²,"A13, Xã Lộc Thái, Huyện Lộc Ninh, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
"Đất thổ cư Đ. Duyên Hải, ngay tt Cần Thạnh thời điểm tốt để đầu tư","16,8 tỷ","31,70 triệu/m²",530 m²,,,,"Đường Duyên Hải, Thị trấn Cần Thạnh, Huyện Cần Giờ, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,16 m,32 m,
ĐẤT LOANG AN - GIÁ RẺ - SHR - SANG TÊN TRONG NGÀY,950 triệu,"9,90 triệu/m²",96 m²,,,,"Đường Tân Hội, Xã Đức Lập Thượng, Huyện Đức Hòa, Long An",Đất thổ cư,,Đã có sổ,,,,,,,,,,,5 m,19.3 m,
"góc 2 mặt tiền, đường ô tô Dân chủ- bình thọ - tp. thủ đức","6,5 tỷ","86,67 triệu/m²",75 m²,,,,"Đường Dân Chủ, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5.4 m,14 m,
Mặt tiền đường 10.5m ngay cổng phụ bến xe giá rẻ,"5,1 tỷ",51 triệu/m²,100 m²,,,m²,"Đường Đàm Văn Lễ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
"15x145 có thổ cư, đường nhựa, ngay KCN Phước Đông. 240tr (1m)","3,6 tỷ","1,57 triệu/m²",2300 m²,,,m²,"ấp Suối Cao A, Xã Phước Đông, Huyện Gò Dầu, Tây Ninh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,15 m,145 m,
"Đất SHR 1600m2, đường Tân Long. Xã Bình Chánh . HCM","6,9 tỷ","4,31 triệu/m²",1600 m²,,,m²,"Đường Tân Long, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất nông nghiệp,,Đã có sổ,,,,,Đông Nam,,,,,Hẻm xe hơi,30 m,55 m,
Kẹt tiền chủ gửi lô đất đẹp view thung lũng tại Lâm Hà giá 500tr,500 triệu,500.000 đ/m²,1000 m²,,,m²,".., Xã Đông Thanh, Huyện Lâm Hà, Lâm Đồng",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Nở hậu",,,
"có 2 lô . 7x13m giá 2 tỷ 650 🌴 và 7,85 x 35m giá 3,7 tỷ","2,65 tỷ","31,18 triệu/m²",85 m²,,,,"Đường Vĩnh Phú 33, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Hẻm xe hơi,,,
"Bán đất Lương Sơn, sổ hồng, chính chủ","3,225 tỷ","7,50 triệu/m²",430 m²,,,m²,"Liên xã, Xã Nhuận Trạch, Huyện Lương Sơn, Hòa Bình",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,"Mặt tiền
Nở hậu
Thổ cư 1 phần",10.6 m,40 m,
Bán đất 4x22 đường thạnh lộc 37 phường an phú đông tp hồ chí minh,"4,68 tỷ","53,18 triệu/m²",88 m²,,,m²,"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư 1 phần
Thổ cư toàn bộ",4 m,22 m,
Chủ kẹt tiền kí gửi bán gấp căn nhà vườn đẹp,250 triệu,250.000 đ/m²,1000 m²,,,,"ấp 1, Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,"Mặt tiền
Thổ cư 1 phần",20 m,50 m,
"Cần bán 124m2 ( 6.2 X 20 ), sổ riêng, đường ô tô, giáp SG, view sông","4,4 tỷ","35,48 triệu/m²",124 m²,,,m²,"Quốc lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,6.2 m,20 m,
"Cần bán đất đối diện khu Đa Phước Q Hải Châu siêu đẹp, giá 17 tỷ, 5x23","15,5 tỷ","134,78 triệu/m²",115 m²,,,,"Đường Nguyễn Tất Thành, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,,5 m,23 m,
Đất Thổ Cư 120m2 Phú Mỹ - Vũng Tàu,"1,7 tỷ","14,17 triệu/m²",120 m²,,,m²,"Thửa 1087 tờ bđ 27,  Thôn Phước Tấn, Xã Tân Hoà, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",5 m,25 m,
"Cần bán 129m2 (6x21.5m) , sát chợ nông sản Thủ Đức, SHR, full thổ cư","5,15 tỷ","38,15 triệu/m²",135 m²,,,m²,"mặt tiền, quốc lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",6 m,21.5 m,
"Bán lô đất đẹp 110m2 ngay Thạnh Xuân 25 -mặt tiền trước 12m, XD tự do","5,5 tỷ",50 triệu/m²,110 m²,,,m²,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,,"Mặt tiền
Hẻm xe hơi",4.5 m,27.5 m,
Đất ngang 10m DT607 đường 7m5 đối diện kcn Điện Ngọc có TL,"2,78 tỷ","18,53 triệu/m²",150 m²,,,m²,"Phan Kế Bính, Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",Đất thổ cư,,Đã có sổ,,,,,Tây,,,,,Thổ cư toàn bộ,6 m,25 m,
Đất thổ cư,"2,6 tỷ",13 triệu/m²,200 m²,,,m²,"Số 8, đường thôn Trại Dưới, Xã Hoàng Diệu, Huyện Chương Mỹ, Hà Nội",Đất thổ cư,,Đã có sổ,,,,,,,,,,Thổ cư toàn bộ,,,
Bán lô đất Hoà Phú 28 - Khu E Kim Long,"6,15 tỷ","61,50 triệu/m²",100 m²,,,m²,"Đường Hoà Phú 28, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,Mặt tiền,5 m,20 m,
"Chính Chủ Bán Gấp Lô Đất MT Trần Thị Ngần, DT 350m²,10×35, full thổ","1,2 tỷ","3,43 triệu/m²",350 m²,,,m²,"Đường Trần Thị Ngần, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,10 m,35 m,
Chính chủ cần ra gấp đất mặt tiền Tôn Thất Tùng Thành phố Bạc Liêu,4 tỷ,"26,67 triệu/m²",150 m²,,,,"Đường Tôn Thất Tùng, Phường 5, Thành phố Bạc Liêu, Bạc Liêu",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi",6.5 m,20 m,
Bán lô kề góc ngã tư đường 10.5 trục thông ra mai đăng chơn,"3,95 tỷ","39,50 triệu/m²",100 m²,,,m²,"Đường Nguyễn Đăng Tuân, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,20 m,
Bàu mạc 6 hướng đông nam vị trí đẹp giá tốt,"4,85 tỷ","45,12 triệu/m²",107.5 m²,,,m²,"Đường Bàu Mạc 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
"🔥Đât FULL THỔ sát CHỢ CẦU ĐỒNG - Thạnh lộc 29 , Quận 12- DT 4.8x18 - H","4,3 tỷ","50,83 triệu/m²",84.6 m²,,,,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",4.8 m,18 m,
Bán Đất Đường 100 Bình Thới P14 Quận 11. 64m2.,"5,8 tỷ","90,62 triệu/m²",64 m²,,,m²,"Đường Bình Thới, Phường 14, Quận 11, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,,Thổ cư toàn bộ,4 m,16 m,
BÁN ĐẤT THỔ CƯ ĐƯỜNG 7 LONG TRƯỜNG Q9 CŨ,"3,5 tỷ","69,03 triệu/m²",50.7 m²,,,m²,"0, Đường số 7, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Nam,,,,Đường 7,"Mặt tiền
Thổ cư toàn bộ
Hẻm xe hơi",4 m,12.7 m,
BÁN ĐẤT FULL THỔ CƯ ĐƯỜNG 27 GIAGAMALL. HIỆP BÌNH CHÁNH THỦ ĐỨC,"6,2 tỷ","86,11 triệu/m²",72 m²,,,,"Đường số 27, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đang chờ sổ,,,,,Tây Nam,,,,,,4 m,18 m,
Bán cặp đất đẹp 250m2(10x25) MT Thủy Sơn 4  - Gần Bãi Biển Sơn Thuỷ,"15,5 tỷ",62 triệu/m²,250 m²,,,m²,"Đường Thủy Sơn 5, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,10 m,25 m,
1300m2 ĐẤT LÚA MẶT TIỀN ĐƯỜNG ĐÊ SỐ 4 XÃ TÂN NHỰT,5 tỷ,"3,85 triệu/m²",1300 m²,,,,"Đê Số 4, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,Mặt tiền,18 m,72 m,
"Đất gần ngã tư Chiêu Liêu,Tân Bình,TP Dĩ An","3,69 tỷ","35,14 triệu/m²",105 m²,,,m²,"Đường Lê Hồng Phong, Phường Tân Bình, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,6 m,17.5 m,
"Đất 100m2 Ngang 4,5m Nam Hùng Vương, phường An Lạc","5,5 tỷ",55 triệu/m²,100 m²,,,m²,"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",4.5 m,22 m,
MT kinh doanh trục chính đường lớn TĐC Đại Phước vuông góc Lý Thái Tổ!,"5,5 tỷ",55 triệu/m²,100 m²,,,m²,"Đường Lý Thái Tổ, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",Đất nền dự án,,Đang chờ sổ,,,,,Đông Nam,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,20 m,
🔴 đất Mt Trung đông 7 . Nguyễn Thị Ngâu HM,"4,5 tỷ","42,06 triệu/m²",107 m²,,,,"Đường Trung Đông 7, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",Đất thổ cư,,Đang chờ sổ,,,,,,,,,,Mặt tiền,6.5 m,16 m,
835 triệu sổ hữu ngay ngôi ngà cấp 4 trên đất 617m2 tại Minh Thạnh,835 triệu,"1,35 triệu/m²",617 m²,,,m²,"Lò Rèn, Xã Minh Thạnh, Huyện Dầu Tiếng, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,10 m,60 m,
bán nhanh 65m2 hẻm xe hơi đường số 10 QL13 Hiệp Bình Phước TD 4 tỷ 500,"4,5 tỷ","69,23 triệu/m²",65 m²,,,m²,"Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,"Mặt tiền
Hẻm xe hơi",4 m,17 m,
"GIẢM 250TR BÁN GẤP LÔ ĐẤT THỔ 4*16 THẠNH LỘC 14, QUẬN 12","3,25 tỷ",50 triệu/m²,65 m²,,,m²,"Đường Thạnh Lộc 14, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,"Hẻm xe hơi
Thổ cư 1 phần",4 m,16 m,
BÁN ĐẤT NỀN THỔ CƯ GẦN SÂN BAY QUỐC TẾ LONG THÀNH CHỈ 890 TRIỆU,890 triệu,"9,37 triệu/m²",95 m²,,,m²,"Đường Phùng Hưng, Xã An Phước, Huyện Long Thành, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,,,,,,,4.5 m,21 m,
Bán đất Linh Tây đường Phạm Văn Đồng gần chợ Thủ Đức (2156m2) 50 tr/m2,"107,8 tỷ",50 triệu/m²,2156 m²,,,m²,"96/1, Đường Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Hẻm xe hơi,45.5 m,47.5 m,
"Bán đất lô góc 2 mặt tiền phường Long Bình, Thủ Đức",5 tỷ,"32,74 triệu/m²",152.7 m²,,,,"Long Sơn, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Mặt tiền,7.85 m,20 m,
"Bán đất sổ đỏ 102,2m2 đất đường Xóm Bàu , Diên Phước, Diên Khánh",700 triệu,"6,85 triệu/m²",102.2 m²,,,m²,"Xóm bàu, Xã Diên Phước, Huyện Diên Khánh, Khánh Hòa",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,,"Mặt tiền
Thổ cư 1 phần",5.11 m,20.43 m,
"Bán gấp: Đất vườn 1115m2, ra sân bay Long Thành 28P chỉ 3.9 tỷ đồng","3,9 tỷ","3,50 triệu/m²",1115 m²,,,m²,"Đường Nguyễn Hoàng, Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,Đông Nam,,,,"Đất vườn 1115m2, cách sân bay Long Thành 28 phút chỉ 3.9 tỷ đồng",Mặt tiền,25 m,46 m,
bán 2 công đất ruộng,520 triệu,272.251 đ/m²,1910 m²,,,,"Ấp vĩnh Hựu, Xã Long Vĩnh, Huyện Gò Công Tây, Tiền Giang",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,Không có thổ cư,9 m,210 m,
GIÁ 340TR MẶT TIỀN BÙI THANH VÂN TT TRẢNG BÀNG TÂY NINH 200M2 THỔ CƯ,340 triệu,581.196 đ/m²,585 m²,,,m²,"Bùi Thanh Vân, Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tây Ninh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Nở hậu
Hẻm xe hơi
Thổ cư toàn bộ",15 m,40 m,
"Đất thổ cư Mặt tiền đường 10m TÂN THỚI HIỆP 15, Q12, DT 72m22 (4 x 18)","5,79 tỷ","80,42 triệu/m²",72 m²,,,m²,"Đường Tân Thới Hiệp 15, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",4 m,18 m,
Chính chủ bán mặt tiền trường chinh Đoạn gần ủy ban phường Thanh Khê,"3,55 tỷ","50,71 triệu/m²",70 m²,,,m²,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Mặt tiền,5 m,14 m,
Cần bán gấp đất 170m2 full Thổ Cư 1/ đường TL15,"6,8 tỷ",40 triệu/m²,170 m²,,,m²,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Hẻm xe hơi,5 m,34 m,
bán gấp trong tuần lô đất nền kèm nhà chỉ 500tr/nền 360m2 tại bảo lộc,500 triệu,"1,39 triệu/m²",360 m²,,,m²,"quốc lô 20, Xã Lộc Châu, Thành phố Bảo Lộc, Lâm Đồng",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư 1 phần",10 m,36 m,
1TỶ/216M2 FULL THỔ-GÓC 2 MẶT TIỀN NHỮ TIẾN HIẾN-THỊ TRẤN CỦ CHI,1 tỷ,"4,63 triệu/m²",216 m²,,,m²,"Đường Nhữ Tiến Hiến, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",10 m,20 m,
"Bán 460m2 view sông Vĩnh Phú - Giáp QL 13, giáp SG, sổ riêng, thổ cư","10,8 tỷ","23,48 triệu/m²",460 m²,,,m²,"Đường Vĩnh Phú 32, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,12 m,40 m,
"ĐẤT NGUYỄN THỊ LẮNG, 5M X 25M, SỔ SẴN, GIÁ 475 TRIỆU, BAO HẾT THUẾ PHÍ",475 triệu,"3,80 triệu/m²",125 m²,,,m²,"Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,25 m,
"107,5m thổ cư nền tdc Long Sơn-Long Bình-Tp Thủ Đức","10,75 tỷ",100 triệu/m²,107.5 m²,,,,"Đường A, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,lô A10,"Mặt tiền
Thổ cư toàn bộ",5 m,21.5 m,
"ĐẤT ĐẸP, VỈA HÈ 5M, ĐƯỜNG 9M, KINH DOANH TỐT","5,28 tỷ","82,89 triệu/m²",63.7 m²,,,m²,"Biểu Khê, Xã Thuỵ Lâm, Huyện Đông Anh, Hà Nội",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",4.5 m,,
Đất nền sân bay quốc tế Long Thành - Cách sân bay 5 phút - Giá 13tr/m2,"1,3 tỷ",13 triệu/m²,100 m²,,,m²,"Đường Phùng Hưng, Xã An Phước, Huyện Long Thành, Đồng Nai",Đất nền dự án,,Đã có sổ,,,,,Đông,,,,,"Mặt tiền
Thổ cư toàn bộ
Nở hậu",5 m,20 m,
"KHU PHỐ CHỢ CHIÊN ĐÀN: DT 100M2 ĐÃ CÓ SỔ, GIÁ CHỈ TỪ 1,4 TỶ, SÁT QL1A","1,4 tỷ",14 triệu/m²,100 m²,,,m²,"Thôn An Thành 1, Đường Quốc lộ 1A, Xã Tam Đàn, Huyện Phú Ninh, Quảng Nam, Xã Tam Đàn, Huyện Phú Ninh, Quảng Nam",Đất nền dự án,,Đã có sổ,,,,,,,,,,Mặt tiền,,,
Bán Đất đẹp -Mai Lâm- gần Vin Cổ Loa- ngõ thông- ô tô cất trong đất,"4,55 tỷ","108,33 triệu/m²",42 m²,,,m²,"Lộc Hà , Xã Mai Lâm, Huyện Đông Anh, Hà Nội",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
Đất thổ cư mặt tiền An Phú Đông 09dt 4x25 tiện kinh doanh buôn bán xây,"7,8 tỷ","84,78 triệu/m²",92 m²,,,,"An Phú Đông 09, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",Đất nền dự án,,Đã có sổ,,,,,Đông Nam,,,,,"Mặt tiền
Thổ cư toàn bộ",4 m,24 m,
CẦN BÁN GẤP-NGỘP BANK,"1,9 tỷ","8,44 triệu/m²",225 m²,,,,"Tỉnh Lộ 9, Xã Mỹ Hạnh Bắc, Huyện Đức Hòa, Long An",Đất thổ cư,,Đã có sổ,,,,,,,,,,,5 m,45 m,
BAN NEN HẺM 115 BÌNH THỦY,"1,75 tỷ","23,71 triệu/m²",73.8 m²,,,,"Hẻm 115, Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
"ĐẤT MẶT TIỀN -Trung Tâm THỊ TRẤN HÓC MÔN Ngang 24m, Dài 78m",115 tỷ,"61,43 triệu/m²",1872 m²,,,m²,"AAAAA, LTH, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",24 m,78 m,
"Bán đất nền, An Phước, Long Thành, Cách chợ Long Thành 3km, 1042 m2","15,95 tỷ","15,31 triệu/m²",1042 m²,,,m²,"Đường Quốc lộ 51, Xã An Phước, Huyện Long Thành, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,,,,,87,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",,,
đât nền long đức xát sân bay long thành,"1,4 tỷ","16,47 triệu/m²",85 m²,,,,"An Phước, Xã An Phước, Huyện Long Thành, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,15,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",6.2 m,14 m,
Cần tiền cho con đi du học chủ cần bán gấp đất Bình Dương,450 triệu,"1,50 triệu/m²",300 m²,,,,"Đường Quốc lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,10 m,30 m,
BÁN ĐẤT MẶT TIỀN ĐƯỜNG SỐ 15 HÒA LONG SIÊU NGỘP 164M2/1TY350,"1,35 tỷ","8,23 triệu/m²",164 m²,,,m²,"Đường số 15, Xã Hoà Long, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư 1 phần",7 m,23 m,
"Bán đất thổ cư 200m2, giá 720 triệu/nền, Huyện Bàu Bàng Bình Dương",720 triệu,"3,60 triệu/m²",200 m²,,,m²,"dt750, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,"Bàu Bàng, Bình Dương",Mặt tiền,5 m,40 m,
bán 2554 CLN tờ 29 phú đông gần đường Phú Mỹ 2 giá rẻ Lh ***,"2,8 tỷ","1,10 triệu/m²",2554 m²,,,,"View Sông Nước, Xã Phú Đông, Huyện Nhơn Trạch, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,,50 m,50 m,
